StationNo;Par;Code;Unit
bos02a-SF-CM;DO;1114bos02a-SF-CMDOVAL;mg/l
bos02a-SF-CM;pH;1114bos02a-SF-CMpHVAL;-
dem02a-SF-CM;DO;1114dem02a-SF-CMDOVAL;mg/l
dem02a-SF-CM;pH;1114dem02a-SF-CMpHVAL;-
den02a-SF-CM;DO;1114den02a-SF-CMDOVAL;mg/l
den02a-SF-CM;pH;1114den02a-SF-CMpHVAL;-
gnt03a-SF-CM;DO;1114gnt03a-SF-CMDOVAL;mg/l
gnt03a-SF-CM;pH;1114gnt03a-SF-CMpHVAL;-
knt03a-SF-CM;DO;1114knt03a-SF-CMDOVAL;mg/l
knt03a-SF-CM;pH;1114knt03a-SF-CMpHVAL;-
lei05a-SF-CM;DO;1114lei05a-SF-CMDOVAL;mg/l
lei05a-SF-CM;pH;1114lei05a-SF-CMpHVAL;-
zes40a-SF-CM;pH;1114zes40a-SF-CMpHVAL;-
rup02e-SF-CM;Chfyla;1114rup02e-SF-CMChfylaVAL;µg/l
rup02e-SF-CM;DO;1114rup02e-SF-CMDOVAL;mg/l
rup02e-SF-CM;pH;1114rup02e-SF-CMpHVAL;-
rup02e-SF-CM;PPFD;1114rup02e-SF-CMPPFDVAL;µmol/s/m²
rup02e-SF-CM;PPFD1;1114rup02e-SF-CMPPFD1VAL;µmol/s/m²
rup02e-SF-CM;kd;1114rup02e-SF-CMkdVAL;m¯¹
zen03a-SF-CM;DO;1114zen03a-SF-CMDOVAL;mg/l
zen03a-SF-CM;pH;1114zen03a-SF-CMpHVAL;-
zes07g-SF-CMO;DO;1114zes07g-SF-CMODOVAL;mg/l
zes09x-SF-CM;Chfyla;1114zes09x-SF-CMChfylaVAL;µg/l
zes09x-SF-CM;DO;1114zes09x-SF-CMDOVAL;mg/l
zes09x-SF-CM;pH;1114zes09x-SF-CMpHVAL;-
zes09x-SF-CM;PPFD;1114zes09x-SF-CMPPFDVAL;µmol/s/m²
zes09x-SF-CM;PPFD1;1114zes09x-SF-CMPPFD1VAL;µmol/s/m²
zes09x-SF-CM;kd;1114zes09x-SF-CMkdVAL;m¯¹
zes24a-SF-CM;DO;1114zes24a-SF-CMDOVAL;mg/l
zes24a-SF-CM;pH;1114zes24a-SF-CMpHVAL;-
zes39c-SF-CM;Chfyla;1114zes39c-SF-CMChfylaVAL;µg/l
zes39c-SF-CM;DO;1114zes39c-SF-CMDOVAL;mg/l
zes39c-SF-CM;pH;1114zes39c-SF-CMpHVAL;-
zes39c-SF-CM;PPFD;1114zes39c-SF-CMPPFDVAL;µmol/s/m²
zes39c-SF-CM;PPFD1;1114zes39c-SF-CMPPFD1VAL;µmol/s/m²
zes39c-SF-CM;kd;1114zes39c-SF-CMkdVAL;m¯¹
zes40a-SF-CM;DO;1114zes40a-SF-CMDOVAL;mg/l
zes54m-SF-CM;Chfyla;1114zes54m-SF-CMChfylaVAL;µg/l
zes54m-SF-CM;DO;1114zes54m-SF-CMDOVAL;mg/l
zes54m-SF-CM;pH;1114zes54m-SF-CMpHVAL;-
zes54m-SF-CM;PPFD;1114zes54m-SF-CMPPFDVAL;µmol/s/m²
zes54m-SF-CM;PPFD1;1114zes54m-SF-CMPPFD1VAL;µmol/s/m²
zes54m-SF-CM;kd;1114zes54m-SF-CMkdVAL;m¯¹
zes57a-SF-CM;DO;1114zes57a-SF-CMDOVAL;mg/l
zes57a-SF-CM;pH;1114zes57a-SF-CMpHVAL;-
